Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100790,Over-speeding,2872,Uttar Pradesh,2025-03-01,07:38,Bike,Grey,2001,Punjab,64,Female,Two-Wheeler,0,Foggy,Under Construction,OFF2551,RTO,Expired,4,Yes,No,Green,50,97,0.19,Positive,Yes,Yes,Not Paid,Yes,2,First Violation
VLT100791,Wrong Parking,723,Punjab,2025-03-02,21:11,Bike,Yellow,2000,Tamil Nadu,32,Male,Learner,5,Rainy,Dry,OFF2194,RTO,Expired,2,Yes,Yes,Red,30,84,0.35,Positive,No,No,Not Paid,No,0,First Violation
VLT100792,Overloading,2463,Punjab,2025-03-03,14:22,Bus,Grey,2023,Karnataka,69,Other,Commercial,0,Rainy,Wet,OFF6189,Highway Patrol,Suspended,4,No,No,Yellow,40,53,0.33,Positive,Yes,Yes,Cash,No,3,First Violation
VLT100793,Signal Jumping,634,Delhi,2025-03-04,23:53,Truck,Grey,2021,Gujarat,21,Female,Heavy Vehicle,1,Clear,Wet,OFF8203,Traffic Police,Valid,3,No,Yes,Red,40,62,0.24,Not Conducted,No,Yes,Not Paid,Yes,4,Repeat Offender
VLT100796,Driving Without License,2213,West Bengal,2025-03-07,12:51,Auto Rickshaw,Yellow,2020,Maharashtra,53,Female,Four-Wheeler,1,Dust Storm,Slippery,OFF7809,Traffic Police,Expired,2,Yes,No,Yellow,100,30,0.18,Positive,Yes,Yes,Card,No,0,Fine Paid On Spot
VLT100801,Signal Jumping,3298,Uttar Pradesh,2025-03-12,08:10,Truck,Silver,2016,Karnataka,57,Other,Heavy Vehicle,1,Cloudy,Slippery,OFF4314,Traffic Police,Expired,5,Yes,Yes,Green,50,39,0.12,Negative,No,Yes,Not Paid,Yes,4,Repeat Offender
VLT100802,Driving Without License,388,Gujarat,2025-03-13,19:29,Scooter,Green,1997,Karnataka,20,Female,Four-Wheeler,9,Foggy,Wet,OFF2577,RTO,Expired,4,Yes,Yes,Red,30,35,0.31,Not Conducted,Yes,Yes,Online,Yes,1,First Violation
VLT100808,Signal Jumping,2464,Punjab,2025-03-19,23:19,Auto Rickshaw,White,2013,Uttar Pradesh,64,Male,Learner,8,Dust Storm,Dry,OFF2689,Highway Patrol,Expired,3,No,No,Red,100,20,0.09,Negative,Yes,No,Card,No,5,Fine Paid On Spot
VLT100813,Driving Without License,795,Gujarat,2025-03-24,22:33,Bike,Silver,1995,Punjab,49,Male,Commercial,7,Clear,Under Construction,OFF2568,RTO,Expired,4,Yes,No,Green,30,115,0.5,Positive,Yes,Yes,Card,Yes,1,Fine Paid On Spot
VLT100816,Signal Jumping,380,Gujarat,2025-03-27,20:45,Scooter,Black,2003,Gujarat,67,Female,Four-Wheeler,2,Foggy,Slippery,OFF6408,RTO,Valid,2,Yes,No,Red,60,59,0.31,Not Conducted,No,No,Card,No,4,Repeat Offender
VLT100817,No Helmet,713,Maharashtra,2025-03-28,15:14,Car,Blue,2006,Punjab,71,Other,Learner,9,Clear,Wet,OFF4753,Traffic Police,Expired,1,Yes,Yes,Green,60,29,0.03,Negative,Yes,No,Online,Yes,2,Repeat Offender
