Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100790,Over-speeding,2872,Uttar Pradesh,2025-03-01,07:38,Bike,Grey,2001,Punjab,64,Female,Two-Wheeler,0,Foggy,Under Construction,OFF2551,RTO,Expired,4,Yes,No,Green,50,97,0.19,Positive,Yes,Yes,Not Paid,Yes,2,First Violation
VLT100791,Wrong Parking,723,Punjab,2025-03-02,21:11,Bike,Yellow,2000,Tamil Nadu,32,Male,Learner,5,Rainy,Dry,OFF2194,RTO,Expired,2,Yes,Yes,Red,30,84,0.35,Positive,No,No,Not Paid,No,0,First Violation
VLT100792,Overloading,2463,Punjab,2025-03-03,14:22,Bus,Grey,2023,Karnataka,69,Other,Commercial,0,Rainy,Wet,OFF6189,Highway Patrol,Suspended,4,No,No,Yellow,40,53,0.33,Positive,Yes,Yes,Cash,No,3,First Violation
VLT100793,Signal Jumping,634,Delhi,2025-03-04,23:53,Truck,Grey,2021,Gujarat,21,Female,Heavy Vehicle,1,Clear,Wet,OFF8203,Traffic Police,Valid,3,No,Yes,Red,40,62,0.24,Not Conducted,No,Yes,Not Paid,Yes,4,Repeat Offender
VLT100794,Over-speeding,1486,Delhi,2025-03-05,15:05,Auto Rickshaw,Yellow,2012,Punjab,44,Female,Learner,6,Cloudy,Under Construction,OFF3298,Local Police,Valid,2,Yes,,Red,80,39,0.03,Positive,Yes,No,Online,No,0,
VLT100795,Drunk Driving,2684,Gujarat,2025-03-06,10:31,Bus,White,1995,Uttar Pradesh,60,Other,Four-Wheeler,8,Cloudy,Wet,OFF7036,Traffic Police,Suspended,1,No,,Yellow,30,105,0.32,Not Conducted,Yes,No,Cash,Yes,4,First Violation
VLT100796,Driving Without License,2213,West Bengal,2025-03-07,12:51,Auto Rickshaw,Yellow,2020,Maharashtra,53,Female,Four-Wheeler,1,Dust Storm,Slippery,OFF7809,Traffic Police,Expired,2,Yes,No,Yellow,100,30,0.18,Positive,Yes,Yes,Card,No,0,Fine Paid On Spot
VLT100797,No Helmet,1955,West Bengal,2025-03-08,06:38,Truck,Green,2004,Delhi,74,Female,Learner,9,Dust Storm,Potholes,OFF5747,Highway Patrol,Expired,5,,,Yellow,80,59,0.38,Negative,Yes,No,Online,No,2,Fine Paid On Spot
VLT100798,No Helmet,558,Punjab,2025-03-09,09:20,Bike,Green,2013,Gujarat,72,Male,Four-Wheeler,0,Dust Storm,Wet,OFF8110,Highway Patrol,Suspended,1,Yes,,Green,50,111,0.3,Not Conducted,Yes,Yes,Cash,Yes,2,
VLT100799,Driving Without License,385,Tamil Nadu,2025-03-10,13:49,Car,Red,1996,Karnataka,28,Male,Two-Wheeler,6,Foggy,Dry,OFF1118,RTO,Expired,2,,,Yellow,100,76,0.36,Not Conducted,Yes,Yes,Card,No,1,Fine Paid On Spot
